  Time            lo        
HH:MM:SS   KB/s in  KB/s out
11:19:23      0.00      0.00
11:19:23      0.00      0.00
11:19:23      0.00      0.00
11:19:23      0.00      0.00
11:19:23      0.00      0.00
11:19:23      0.00      0.00
11:19:24      0.00      0.00
11:19:24      0.00      0.00
11:19:24      0.00      0.00
11:19:24      0.00      0.00
11:19:24      0.00      0.00
11:19:24      0.00      0.00
11:19:24      4.51      4.51
11:19:24      0.00      0.00
11:19:24      0.00      0.00
11:19:24      0.00      0.00
11:19:25      0.00      0.00
11:19:25      0.00      0.00
11:19:25      0.00      0.00
11:19:25      0.00      0.00
11:19:25      0.00      0.00
11:19:25      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
11:19:25      0.00      0.00
11:19:25      0.00      0.00
11:19:25      0.00      0.00
11:19:25      0.00      0.00
11:19:26      0.00      0.00
11:19:26      0.00      0.00
11:19:26      0.00      0.00
11:19:26      0.00      0.00
11:19:26      0.00      0.00
11:19:26      0.00      0.00
11:19:26      0.00      0.00
11:19:26      0.00      0.00
11:19:26      0.00      0.00
11:19:26      0.00      0.00
11:19:27      0.00      0.00
11:19:27      0.00      0.00
11:19:27      0.00      0.00
11:19:27      0.00      0.00
11:19:27      0.00      0.00
11:19:27      0.00      0.00
11:19:27      0.00      0.00
11:19:27      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
11:19:27      0.00      0.00
11:19:27      0.00      0.00
11:19:28      0.00      0.00
11:19:28      0.00      0.00
11:19:28      0.00      0.00
11:19:28      0.00      0.00
11:19:28      0.00      0.00
11:19:28      0.00      0.00
11:19:28      0.00      0.00
11:19:28      0.00      0.00
11:19:28      0.00      0.00
11:19:28      0.00      0.00
11:19:29      0.00      0.00
11:19:29      0.00      0.00
11:19:29      0.00      0.00
11:19:29      0.00      0.00
11:19:29      0.00      0.00
11:19:29      0.00      0.00
11:19:29      0.00      0.00
11:19:29      0.00      0.00
11:19:29      0.00      0.00
11:19:29      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
11:19:30      0.00      0.00
11:19:30      0.00      0.00
11:19:30      0.00      0.00
11:19:30      0.00      0.00
11:19:30      0.00      0.00
11:19:30      0.00      0.00
11:19:30      0.00      0.00
11:19:30      0.00      0.00
11:19:30      0.00      0.00
11:19:31      0.00      0.00
11:19:31      0.00      0.00
11:19:31      0.00      0.00
11:19:31      0.00      0.00
11:19:31      0.00      0.00
11:19:31      0.00      0.00
11:19:31      0.00      0.00
11:19:31      0.00      0.00
11:19:31      0.00      0.00
11:19:31      0.00      0.00
11:19:32      0.00      0.00
11:19:32      0.00      0.00
11:19:32      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
11:19:32      0.00      0.00
11:19:32      0.00      0.00
11:19:32      0.00      0.00
11:19:32      0.00      0.00
11:19:32      0.00      0.00
11:19:32      0.00      0.00
11:19:32      0.00      0.00
11:19:33      0.00      0.00
11:19:33      0.00      0.00
11:19:33      0.00      0.00
11:19:33      0.00      0.00
11:19:33      0.00      0.00
11:19:33      0.00      0.00
11:19:33      0.00      0.00
11:19:33      0.00      0.00
11:19:33      1.28      1.28
11:19:33      0.00      0.00
11:19:34      0.00      0.00
11:19:34      0.00      0.00
11:19:34      0.00      0.00
11:19:34      0.00      0.00
11:19:34      0.00      0.00
  Time            lo        
